,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,59.18,BAR.NOED.1519.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1,2010,0.09,BAR.NOED.1519.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
2,2010,0.49,BAR.NOED.1519.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2010,11.09,BAR.NOED.1519.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
4,2010,6.89,BAR.NOED.1519.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
5,2010,35.46,BAR.NOED.1519.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
6,2010,0.30000000000000004,BAR.NOED.1519.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
7,2010,0.19,BAR.NOED.1519.FE.ZS,USA,United States,North America,High income,Not classified
8,2010,78.24,BAR.NOED.15UP.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
9,2010,35.18,BAR.NOED.15UP.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
10,2010,7.9,BAR.NOED.15UP.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,2010,47.22,BAR.NOED.15UP.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
12,2010,48.03,BAR.NOED.15UP.FE.ZS,NPL,Nepal,South Asia,Lower middle income,IDA
13,2010,59.15,BAR.NOED.15UP.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
14,2010,6.68,BAR.NOED.15UP.FE.ZS,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD
15,2010,0.35000000000000003,BAR.NOED.15UP.FE.ZS,USA,United States,North America,High income,Not classified
16,2010,15.65,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
17,2011,16.0,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
18,2012,16.44,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
19,2013,17.42,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
20,2014,18.46,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
21,2015,19.55,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
22,2016,20.7,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
23,2017,21.91,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
24,2018,22.32,SL.TLF.ACTI.FE.ZS,AFG,Afghanistan,South Asia,Low income,IDA
25,2010,31.1,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
26,2011,31.68,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
27,2012,32.26,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
28,2013,32.84,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
29,2014,33.43,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
30,2015,34.01,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
31,2016,34.59,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
32,2017,37.95,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
33,2018,38.25,SL.TLF.ACTI.FE.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
